Rocket data from 2021-05-08 19:47:48.604872
Nr, posX, posY, centerX, centerY, velX, velY, thrustX, thrustY, rot, engine, targetX, targetY
102,x: 569.4240808756025, y: 288.6599342469715,x: 604.4240808756025, y: 338.6599342469715,x: 0, y: 2.06,x: 0, y: 0,-1.1600000000000006,False,x: 26.412135809039196, y: 20
103,x: 569.4240808756025, y: 292.80993424697147,x: 604.4240808756025, y: 342.80993424697147,x: 0, y: 2.0799999999999996,x: 0, y: 0,-1.2000000000000006,False,x: 26.412135809039196, y: 20
104,x: 569.4240808756025, y: 296.99993424697146,x: 604.4240808756025, y: 346.99993424697146,x: 0, y: 2.099999999999999,x: 0, y: 0,-1.2400000000000007,False,x: 26.412135809039196, y: 20
105,x: 569.4240808756025, y: 301.2299342469715,x: 604.4240808756025, y: 351.2299342469715,x: 0, y: 2.1199999999999988,x: 0, y: 0,-1.2800000000000007,False,x: 26.412135809039196, y: 20
106,x: 569.4240808756025, y: 305.49993424697146,x: 604.4240808756025, y: 355.49993424697146,x: 0, y: 2.1399999999999983,x: 0, y: 0,-1.3200000000000007,False,x: 26.412135809039196, y: 20
107,x: 569.4240808756025, y: 309.80993424697147,x: 604.4240808756025, y: 359.80993424697147,x: 0, y: 2.159999999999998,x: 0, y: 0,-1.3600000000000008,False,x: 26.412135809039196, y: 20
108,x: 569.4240808756025, y: 314.1599342469715,x: 604.4240808756025, y: 364.1599342469715,x: 0, y: 2.1799999999999975,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
109,x: 569.4240808756025, y: 318.5499342469715,x: 604.4240808756025, y: 368.5499342469715,x: 0, y: 2.199999999999997,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
110,x: 569.4240808756025, y: 322.9799342469714,x: 604.4240808756025, y: 372.9799342469714,x: 0, y: 2.2199999999999966,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
111,x: 569.4240808756025, y: 327.44993424697145,x: 604.4240808756025, y: 377.44993424697145,x: 0, y: 2.239999999999996,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
112,x: 569.4240808756025, y: 331.95993424697144,x: 604.4240808756025, y: 381.95993424697144,x: 0, y: 2.259999999999996,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
113,x: 569.4240808756025, y: 336.5099342469714,x: 604.4240808756025, y: 386.5099342469714,x: 0, y: 2.2799999999999954,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
114,x: 569.4240808756025, y: 341.09993424697143,x: 604.4240808756025, y: 391.09993424697143,x: 0, y: 2.299999999999995,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
115,x: 569.4240808756025, y: 345.7299342469714,x: 604.4240808756025, y: 395.7299342469714,x: 0, y: 2.3199999999999945,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
116,x: 569.4240808756025, y: 350.3999342469714,x: 604.4240808756025, y: 400.3999342469714,x: 0, y: 2.339999999999994,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
117,x: 569.4240808756025, y: 355.10993424697136,x: 604.4240808756025, y: 405.10993424697136,x: 0, y: 2.3599999999999937,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
118,x: 569.4240808756025, y: 359.85993424697136,x: 604.4240808756025, y: 409.85993424697136,x: 0, y: 2.3799999999999932,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
119,x: 569.4240808756025, y: 364.6499342469713,x: 604.4240808756025, y: 414.6499342469713,x: 0, y: 2.399999999999993,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
120,x: 569.4240808756025, y: 369.4799342469713,x: 604.4240808756025, y: 419.4799342469713,x: 0, y: 2.4199999999999924,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
121,x: 569.4240808756025, y: 374.3499342469713,x: 604.4240808756025, y: 424.3499342469713,x: 0, y: 2.439999999999992,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
122,x: 569.4240808756025, y: 379.2599342469713,x: 604.4240808756025, y: 429.2599342469713,x: 0, y: 2.4599999999999915,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
123,x: 569.4240808756025, y: 384.2099342469713,x: 604.4240808756025, y: 434.2099342469713,x: 0, y: 2.479999999999991,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
124,x: 569.4240808756025, y: 389.1999342469713,x: 604.4240808756025, y: 439.1999342469713,x: 0, y: 2.4999999999999907,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
125,x: 569.4240808756025, y: 394.22993424697125,x: 604.4240808756025, y: 444.22993424697125,x: 0, y: 2.5199999999999902,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
126,x: 569.4240808756025, y: 399.2999342469712,x: 604.4240808756025, y: 449.2999342469712,x: 0, y: 2.53999999999999,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
127,x: 569.4240808756025, y: 404.4099342469712,x: 604.4240808756025, y: 454.4099342469712,x: 0, y: 2.5599999999999894,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
128,x: 569.4240808756025, y: 409.5599342469712,x: 604.4240808756025, y: 459.5599342469712,x: 0, y: 2.579999999999989,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
129,x: 569.4240808756025, y: 414.7499342469711,x: 604.4240808756025, y: 464.7499342469711,x: 0, y: 2.5999999999999885,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
130,x: 569.4240808756025, y: 419.97993424697114,x: 604.4240808756025, y: 469.97993424697114,x: 0, y: 2.619999999999988,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
131,x: 569.4240808756025, y: 425.2499342469711,x: 604.4240808756025, y: 475.2499342469711,x: 0, y: 2.6399999999999877,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
132,x: 569.4240808756025, y: 430.55993424697107,x: 604.4240808756025, y: 480.55993424697107,x: 0, y: 2.6599999999999873,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
133,x: 569.4240808756025, y: 435.90993424697103,x: 604.4240808756025, y: 485.90993424697103,x: 0, y: 2.679999999999987,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
134,x: 569.4240808756025, y: 441.299934246971,x: 604.4240808756025, y: 491.299934246971,x: 0, y: 2.6999999999999864,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
135,x: 569.4240808756025, y: 446.72993424697097,x: 604.4240808756025, y: 496.72993424697097,x: 0, y: 2.719999999999986,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
136,x: 569.4240808756025, y: 452.19993424697094,x: 604.4240808756025, y: 502.19993424697094,x: 0, y: 2.7399999999999856,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
137,x: 569.4240808756025, y: 457.70993424697093,x: 604.4240808756025, y: 507.70993424697093,x: 0, y: 2.759999999999985,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
138,x: 569.4240808756025, y: 463.2599342469709,x: 604.4240808756025, y: 513.2599342469709,x: 0, y: 2.7799999999999847,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
139,x: 569.4240808756025, y: 468.84993424697086,x: 604.4240808756025, y: 518.8499342469709,x: 0, y: 2.7999999999999843,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
140,x: 569.4240808756025, y: 474.47993424697086,x: 604.4240808756025, y: 524.4799342469709,x: 0, y: 2.819999999999984,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
141,x: 569.4240808756025, y: 480.1499342469708,x: 604.4240808756025, y: 530.1499342469708,x: 0, y: 2.8399999999999834,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
142,x: 569.4240808756025, y: 485.85993424697074,x: 604.4240808756025, y: 535.8599342469707,x: 0, y: 2.859999999999983,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
143,x: 569.4240808756025, y: 491.60993424697074,x: 604.4240808756025, y: 541.6099342469707,x: 0, y: 2.8799999999999826,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
144,x: 569.3649538918031, y: 497.3897362183967,x: 604.3649538918031, y: 547.3897362183967,x: -0.039417989199538414, y: 2.893201314283973,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
145,x: 569.2269909296048, y: 503.1959408183906,x: 604.2269909296048, y: 553.1959408183907,x: -0.07883597839907683, y: 2.9064026285679634,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
146,x: 569.0101919890072, y: 509.02854804695255,x: 604.0101919890072, y: 559.0285480469526,x: -0.11825396759861526, y: 2.919603942851954,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
147,x: 568.7145570700108, y: 514.8875579040824,x: 603.7145570700108, y: 564.8875579040824,x: -0.15767195679815368, y: 2.932805257135944,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
148,x: 568.3400861726151, y: 520.7729703897803,x: 603.3400861726151, y: 570.7729703897803,x: -0.1970899459976921, y: 2.9460065714199346,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
149,x: 567.8867792968205, y: 526.6847855040461,x: 602.8867792968205, y: 576.6847855040461,x: -0.23650793519723054, y: 2.959207885703925,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
150,x: 567.3546364426267, y: 532.62300324688,x: 602.3546364426267, y: 582.62300324688,x: -0.27592592439676894, y: 2.9724091999879154,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
151,x: 566.7436576100339, y: 538.5876236182818,x: 601.7436576100339, y: 588.5876236182818,x: -0.31534391359630737, y: 2.985610514271906,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
152,x: 566.053842799042, y: 544.5786466182516,x: 601.053842799042, y: 594.5786466182516,x: -0.3547619027958458, y: 2.9988118285558962,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
153,x: 565.2851920096509, y: 550.5960722467894,x: 600.2851920096509, y: 600.5960722467894,x: -0.3941798919953842, y: 3.0120131428398866,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
154,x: 564.4377052418608, y: 556.6399005038951,x: 599.4377052418608, y: 606.6399005038951,x: -0.43359788119492265, y: 3.025214457123877,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
155,x: 563.5113824956717, y: 562.7101313895688,x: 598.5113824956717, y: 612.7101313895688,x: -0.4730158703944611, y: 3.0384157714078674,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
156,x: 562.5062237710835, y: 568.8067649038105,x: 597.5062237710835, y: 618.8067649038105,x: -0.5124338595939995, y: 3.051617085691858,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
157,x: 561.4222290680962, y: 574.9298010466202,x: 596.4222290680962, y: 624.9298010466202,x: -0.5518518487935378, y: 3.0648183999758483,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
158,x: 560.2593983867098, y: 581.079239817998,x: 595.2593983867098, y: 631.079239817998,x: -0.5912698379930761, y: 3.0780197142598387,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
159,x: 559.0177317269244, y: 587.2550812179436,x: 594.0177317269244, y: 637.2550812179436,x: -0.6306878271926144, y: 3.091221028543829,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
160,x: 557.6972290887398, y: 593.4573252464572,x: 592.6972290887398, y: 643.4573252464572,x: -0.6701058163921527, y: 3.1044223428278195,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
161,x: 556.2978904721562, y: 599.6859719035389,x: 591.2978904721562, y: 649.6859719035389,x: -0.709523805591691, y: 3.11762365711181,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
162,x: 554.8197158771735, y: 605.9410211891884,x: 589.8197158771735, y: 655.9410211891884,x: -0.7489417947912294, y: 3.1308249713958003,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
163,x: 553.2627053037917, y: 612.2224731034061,x: 588.2627053037917, y: 662.2224731034061,x: -0.7883597839907677, y: 3.1440262856797907,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
164,x: 551.6268587520109, y: 618.5303276461916,x: 586.6268587520109, y: 668.5303276461916,x: -0.827777773190306, y: 3.157227599963781,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
165,x: 549.9121762218309, y: 624.8645848175452,x: 584.9121762218309, y: 674.8645848175452,x: -0.8671957623898443, y: 3.1704289142477715,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
166,x: 548.118657713252, y: 631.2252446174667,x: 583.118657713252, y: 681.2252446174667,x: -0.9066137515893826, y: 3.183630228531762,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
167,x: 546.2463032262739, y: 637.6123070459562,x: 581.2463032262739, y: 687.6123070459562,x: -0.9460317407889209, y: 3.1968315428157523,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
168,x: 544.2951127608968, y: 644.0257721030137,x: 579.2951127608968, y: 694.0257721030137,x: -0.9854497299884593, y: 3.2100328570997427,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
169,x: 542.2650863171206, y: 650.4656397886391,x: 577.2650863171206, y: 700.4656397886391,x: -1.0248677191879978, y: 3.223234171383733,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
170,x: 540.1562238949452, y: 656.9319101028326,x: 575.1562238949452, y: 706.9319101028326,x: -1.0642857083875363, y: 3.2364354856677235,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
171,x: 537.9685254943709, y: 663.4245830455941,x: 572.9685254943709, y: 713.4245830455941,x: -1.1037036975870749, y: 3.249636799951714,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
172,x: 535.7019911153974, y: 669.9436586169235,x: 570.7019911153974, y: 719.9436586169235,x: -1.1431216867866134, y: 3.2628381142357044,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
173,x: 533.3566207580249, y: 676.4891368168209,x: 568.3566207580249, y: 726.4891368168209,x: -1.182539675986152, y: 3.2760394285196948,x: -0.019708994599769207, y: -0.003399342858004802,-1.4000000000000008,True,x: 26.412135809039196, y: 20
174,x: 530.9324144222533, y: 680,x: 565.9324144222533, y: 730.0,x: 0, y: 0,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
175,x: 530.8929964330537, y: 680,x: 565.8929964330537, y: 730.0,x: 0, y: 0,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
176,x: 530.8535784438541, y: 680,x: 565.8535784438541, y: 730.0,x: 0, y: 0,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
177,x: 530.8141604546545, y: 680,x: 565.8141604546545, y: 730.0,x: 0, y: 0,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
178,x: 530.7747424654549, y: 680,x: 565.7747424654549, y: 730.0,x: 0, y: 0,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
179,x: 530.7353244762553, y: 680,x: 565.7353244762553, y: 730.0,x: 0, y: 0,x: 0, y: 0,-1.4000000000000008,False,x: 26.412135809039196, y: 20
